Date,Clicks,Impressions,CTR,Position
2026-04-20,0,0,,
2026-04-21,0,1,0%,6
2026-04-22,0,5,0%,10.6
2026-04-23,0,9,0%,4.3
2026-04-24,0,14,0%,5.6
2026-04-25,0,11,0%,12.5
2026-04-26,0,31,0%,6.5
2026-04-27,0,23,0%,5.7
2026-04-28,0,11,0%,8.6
2026-04-29,0,23,0%,5.5
2026-04-30,0,45,0%,5.1
2026-05-01,0,26,0%,6.3
2026-05-02,0,17,0%,10.9
2026-05-03,0,12,0%,5.9
2026-05-04,0,23,0%,5.3
2026-05-05,0,25,0%,6
2026-05-06,0,34,0%,5.7
2026-05-07,0,19,0%,6
2026-05-08,0,12,0%,9.7
2026-05-09,0,8,0%,6.6
2026-05-10,0,27,0%,6
2026-05-11,0,15,0%,5.7
2026-05-12,0,24,0%,7.8
2026-05-13,0,11,0%,4
2026-05-14,0,8,0%,8
2026-05-15,0,15,0%,7.2
2026-05-16,0,7,0%,7
2026-05-17,0,11,0%,6
2026-05-18,0,15,0%,9.1
2026-05-19,0,11,0%,6.3
2026-05-20,0,10,0%,12.6
2026-05-21,0,15,0%,17.3
2026-05-22,0,17,0%,11.3
2026-05-23,0,5,0%,20.4
2026-05-24,0,9,0%,7.9
2026-05-25,0,19,0%,6.2
2026-05-26,0,11,0%,4.7
2026-05-27,1,11,9.09%,7.6
2026-05-28,0,16,0%,4.1
2026-05-29,0,14,0%,7.4
2026-05-30,0,10,0%,7.2
2026-05-31,0,13,0%,8.5
2026-06-01,0,20,0%,6.2
2026-06-02,0,13,0%,2.9
2026-06-03,0,21,0%,4.9
2026-06-04,0,12,0%,4.1
2026-06-05,1,26,3.85%,4.1
2026-06-06,0,0,,
2026-06-07,1,12,8.33%,5.7
2026-06-08,0,16,0%,6.6
2026-06-09,3,14,21.43%,6.4
2026-06-10,2,26,7.69%,3.8
2026-06-11,1,26,3.85%,4.7
2026-06-12,1,22,4.55%,7.2
2026-06-13,0,29,0%,6.6
2026-06-14,0,14,0%,22.7
2026-06-15,1,19,5.26%,6.8
2026-06-16,0,25,0%,19.4
2026-06-17,3,15,20%,3.3
2026-06-18,2,14,14.29%,5.1
2026-06-19,0,14,0%,14.7
2026-06-20,0,11,0%,10.4
2026-06-21,0,25,0%,8.5
2026-06-22,0,10,0%,8.9
2026-06-23,0,19,0%,9
2026-06-24,0,9,0%,10
2026-06-25,0,14,0%,15.2
2026-06-26,0,10,0%,12.3
2026-06-27,0,10,0%,16.1
2026-06-28,1,21,4.76%,8.5
2026-06-29,0,12,0%,5.9
2026-06-30,1,5,20%,29.8
2026-07-01,1,29,3.45%,17.1
2026-07-02,0,46,0%,9.6
2026-07-03,1,96,1.04%,8.9
2026-07-04,1,98,1.02%,11.1
2026-07-05,1,278,0.36%,12.1
2026-07-06,1,415,0.24%,12.5
2026-07-07,1,372,0.27%,9
2026-07-08,30,5142,0.58%,8.5
2026-07-09,63,17069,0.37%,8.7
2026-07-10,72,20433,0.35%,8.5
